"code","Column Heading","English","Hindi","Bengali"
"option","Paper/Print Options","Create ROW by clicking on the arrow icon and choosing from the various options found. The 'Single-sheet', 'Calendar' and 'Box packaging' modules do not have this option.","एरो आइकन पर क्लिक करके पाए गए विभिन्न विकल्पों में से चुनकर ROW बनाएं। 'सिंगल-शीट', 'कैलेंडर' और 'बॉक्स पैकेजिंग' मॉड्यूल में यह विकल्प नहीं है।","তীর আইকনে ক্লিক করে এবং পাওয়া বিভিন্ন বিকল্প থেকে বেছে নিয়ে ROW তৈরি করুন। 'একক-শীট', 'ক্যালেন্ডার' এবং 'বক্স প্যাকেজিং' মডিউলগুলিতে এই বিকল্প নেই।"
"paper","Paper","Click 'Select'  and select Paper/Card from the List. New Paper/Card can also be added here.","Select' पर क्लिक करके लीस्टमें से पेपर सिलेक्ट करें। पेपर का नया ब्रांड भी यहाँ से जोड़ सकते है।    ","সিলেক্ট'-এ ক্লিক করে তালিকা থেকে কাগজটি নির্বাচন করুন। এখান থেকে নতুন ব্র্যান্ডের কাগজও যোগ করা যাবে।"
"paper_cost","Paper Price Per/","Select from options and enter paper cost per kg. or per Sheet","पेपरकी कीमत (मूल्य) सब खर्च के साथ प्रति किलोग्राम या प्रति शीट दर्शाये। ","কাগজের দাম (দাম) প্রতি কেজি বা সমস্ত ব্যয় সহ প্রতি শীটতে দেখানো উচিত।"
"wastage","Expected Wastege","Enter expected paper wastage in percentage (%) or Sheets.","प्रिन्टिंग के दौरान पेपरका अंदाजित व्यय (Wastage) कितना पर्सेंटेज (%) होगा या कितनी Sheets होगी वो दर्शाये।","মুদ্রণের সময়, কাগজের আনুমানিক ব্যয়ের (অপচয়) ব্যয়ের মোট ব্যয়ের কত মুদ্রণের সময় কাগজের আনুমানিক ব্যয়ের কত শতাংশ (%) বা কতগুলি শীট থাকবে তা নির্দেশ করুন।শতাংশ প্রবেশ করান।"
"finish_size_format","Finish (Cut) Size Format","Enter the Finish Sheet Size (i.e. Cut or Fold-Cut Size) of Full Sheet (Parent Sheet) size of paper. ","पेपरकी पूरी शीटमें से कितने टुकड़े काटे या फोल्ड-कट ( Finish Fold-Cut Size ) किये जायेंगे वो दर्शाये।","কাগজের পুরো শীট থেকে কতগুলি টুকরো কাটা বা ভাঁজ কাটা হবে তা দেখান।"
"total_pgs","Total Pages (Both Sides)","Enter total number of both sides pages (Front & Back) to be printed in the job.","आगे-पीछे दोनों तरफ के पेजिसकी गिनती करते हुए कुल कितने पेजिस प्रिंट होने है वो दर्शाये।","পিছনে এবং পিছনে উভয় পক্ষের পৃষ্ঠাগুলির সংখ্যা গণনা করে মুদ্রণের জন্য পৃষ্ঠাটির মোট সংখ্যা দেখান।"
"dtp","Design DTP Cost Per","Select & Enter Designing or DTP charges from options 'None', Per/Page or Per/Lot.","डिज़ाइनिंग या डीटीपी चार्जिस None,  प्रति/पेज़ या प्रति/लॉट के हिसाबसे एंटर करें। ","ডিজাইনিং বা ডিটিপি চার্জগুলি প্রতি / পৃষ্ঠা বা প্রতি / লট হিসাবে কোনওটি অনুসারে প্রবেশ করুন।"
"pages_in_plate_sig","Pages In Plate Signature","Enter number pages to be accomodated (Exposed) in a single Plate Signature Layout.","एक प्लेट में एक साथ कितने पेजिस (Plate Signature Layout) शामिल करके प्लेट बनेगी वो दर्शाए।","কতগুলি প্লেট (প্লেট স্বাক্ষর বিন্যাস) একটি প্লেটে একসাথে যোগদানের মাধ্যমে গঠিত হবে তা নির্দেশ করুন।"
"ups_in_plate","Ups In Plate Signature","Enter number of Ups or number of repeatations of particular page/pages.","प्लेटमें एक पेजके कितने 'अप्स'  यानी 'रिपीटेशन्स' है ये दर्शाये।","প্লেটে কোনও পৃষ্ঠার কতগুলি 'আপ' রয়েছে তা দেখান।"
"num_colors","Number of Colors","Click and select number of colours to be printed.","इस जॉबमें यहां पर कितने कलरकी छपाई होगी वो सिलेक्ट करें।","এই কাজটিতে এখানে কতগুলি রঙ ছাপানো হবে তা নির্বাচন করুন।"
