"code","Column Heading","English","Hindi","Bengali"
"option","Paper/Print Options","Create ROW by clicking on the arrow icon and choosing from the various options found. The 'Single-sheet', 'Calendar' and 'Box packaging' modules do not have this option.","एरो आइकन पर क्लिक करके पाए गए विभिन्न विकल्पों में से चुनकर ROW बनाएं। 'सिंगल-शीट', 'कैलेंडर' और 'बॉक्स पैकेजिंग' मॉड्यूल में यह विकल्प नहीं है।","তীর আইকনে ক্লিক করে এবং পাওয়া বিভিন্ন বিকল্প থেকে বেছে নিয়ে ROW তৈরি করুন। 'একক-শীট', 'ক্যালেন্ডার' এবং 'বক্স প্যাকেজিং' মডিউলগুলিতে এই বিকল্প নেই।"
"paper_desc","Paper","Click 'Select'  and select Paper/Card from the List. New Paper/Card can also be added here.","Select' पर क्लिक करके लीस्टमें से पेपर सिलेक्ट करें। पेपर का नया ब्रांड भी यहाँ से जोड़ सकते है।    ","সিলেক্ট'-এ ক্লিক করে তালিকা থেকে কাগজটি নির্বাচন করুন। এখান থেকে নতুন ব্র্যান্ডের কাগজও যোগ করা যাবে।"
"wastage","Expected Wastege","Enter expected paper wastage in percentage (%) or Sheets.","प्रिन्टिंग के दौरान पेपरका अंदाजित व्यय (Wastage) कितना पर्सेंटेज (%) होगा या कितनी Sheets होगी वो दर्शाये।","মুদ্রণের সময়, কাগজের আনুমানিক ব্যয়ের (অপচয়) ব্যয়ের মোট ব্যয়ের কত মুদ্রণের সময় কাগজের আনুমানিক ব্যয়ের কত শতাংশ (%) বা কতগুলি শীট থাকবে তা নির্দেশ করুন।শতাংশ প্রবেশ করান।"
"copies_set","Number of Copies In Each Set","Number of copies in each set emerges here automaticaly when option is selected in first column.","एक सेटमें कितनी कॉपियां है वो दर्शाता है। 'Option' की पहली कॉलममें जो सिलेक्ट करते है वो यहाँ रहता है। ","একটি কয়টি কপি রয়েছে তা দেখায়। বিকল্পের প্রথম কলামে যে ব্যক্তি নির্বাচন করে সে এখানেই থাকে।"
"sets_book","Nos. of Sets In Each Book","Enter number of Sets (SINGLE/DUPLICATE/TRIPLICATE/QUARDUPLICATE ETC.) in Each Book.","एक बुकमे कितने सेट्स (डुप्लिकेट/ट्रिप्लीकेट ईत्यादी)  है वो यहां दर्शाये। ","কোনও বুকমে কয়টি সেট (সদৃশ / ট্রিপল্টি) রয়েছে তা এখানে দেখান।"
"finish_cut_format","Finish (Cut) Size Format","Select  Finish Size Format from the List","सिलेक्ट पर क्लिक करके पेपर साइज़ फॉर्मेट सिलेक्ट करे। ","সিলেক্ট ক্লিক করুন এবং কাগজের আকার বিন্যাস নির্বাচন করুন।"
"dtp","Design DTP Cost Per","Select & Enter Designing or DTP charges from options 'None', 'Per/Page' or 'Per/Lot'.","डिज़ाइनिंग या डीटीपी चार्जिस 'None',  'प्रति/पेज़' या 'प्रति/लॉट' के हिसाबसे एंटर करें। ","'কিছুই নয়', 'প্রতি / পৃষ্ঠা' বা 'প্রতি / লট' অনুসারে ডিজাইনিং বা ডিটিপি চার্জ দিন।"
"ups_in_plate","Ups in Plate/Master Signature","Enter number of Ups means number of repeatation of Item.","एक प्लेट/मास्टर में कितने अप्स याने रीपीटेशन्स है वो यहां एंटर करे। ","কোনও প্লেট / মাস্টারে আপসের সংখ্যা লিখুন।"
"plate_master","Plate/Master Mounted on M/c","Enter number of Masters mounted on M/c for printing.","बड़े मशीन में एक साथ दो मास्टर्स लगाके भी प्रिंटिंग किया जा सकता है। उस हिसाबसे यहां दिए गए विकल्पोंमें से चुने।","বড় মেশিনে দু'জন মাস্টার একসাথে রেখে মুদ্রণ করা যায়। তদনুসারে, এখানে দেওয়া অপশন থেকে চয়ন করুন।"
"num_colors","Number of Colors","Click and select number of colours to be printed.","इस जॉबमें यहां पर कितने कलरकी छपाई होगी वो सिलेक्ट करें।","এই কাজটিতে এখানে কতগুলি রঙ ছাপানো হবে তা নির্বাচন করুন।"
